"478","1792","31","2","332.66"
"1843","69","342","5","209.86"
"1614","408","271","8","94.4"
"1144","126","320","9","221.22"
"1598","384","536","7","104.99"
"751","791","627","1","40.36"
"177","1119","640","4","7.06"
"1655","357","581","10","268.24"
"954","1943","370","10","199.38"
"1535","392","878","5","657.38"
"1205","381","746","6","259.14"
"1438","73","921","8","212.87"
"1951","282","230","10","90.01"
"790","1608","512","5","533.28"
"1187","973","882","9","294.83"
"909","394","78","6","188.25"
"1732","793","256","10","233.87"
"1824","1587","962","9","579.48"
"548","1780","309","9","171.52"
"652","467","991","4","625.7"
"1884","66","700","10","256.72"
"1646","1207","260","6","422.82"
"1514","1251","787","5","228.6"
"1881","1146","276","1","450.62"
"1446","1525","802","9","648.37"
"261","909","27","2","624.55"
"1140","1008","795","3","239.9"
"1121","452","452","8","223.97"
"1357","852","432","4","22.63"
"1503","1226","854","10","185.51"
"46","1672","466","5","64.9"
"1407","1176","469","9","551.65"
"298","1713","39","8","495.93"
"455","828","777","1","231.58"
"518","81","503","6","121.62"
"267","1116","614","2","369.67"
"1228","1943","444","8","546.88"
"930","144","331","4","66.18"
"886","1779","553","7","412.23"
"1558","586","344","9","78.8"
"890","1081","530","7","308.27"
"698","202","744","3","247.88"
"838","527","884","9","316.67"
"1705","1891","141","9","69.1"
"203","515","89","2","407.4"
"1700","1301","822","6","91.11"
"634","449","499","8","175.99"
"1623","1419","472","9","290.08"
"129","337","34","5","592.29"
"385","6","818","4","89.19"
"605","980","887","1","231.26"
"1808","1199","126","7","3.63"
"1535","757","74","4","56.32"
"1026","218","90","1","8.13"
"968","280","927","1","479.01"
"1991","1372","395","6","55.09"
"86","548","801","3","239.23"
"923","604","232","7","38.41"
"864","247","748","7","123.06"
"1615","1257","181","2","59.47"
"1262","640","143","3","217.57"
"882","1759","674","2","125.36"
"852","800","584","7","140.55"
"260","618","184","6","72.74"
"1287","1602","535","5","359.06"
"37","1399","905","2","715.28"
"1544","656","831","5","284.28"
"448","582","32","9","4.28"
"1331","1998","170","1","413.36"
"1225","70","170","8","392.42"
"732","43","475","5","668.09"
"1603","1224","306","2","292.07"
"360","169","772","2","354.75"
"332","782","711","3","1.36"
"145","738","540","5","319.13"
"794","934","68","7","369.81"
"982","976","810","9","393.91"
"1822","1562","613","6","113.04"
"264","974","484","4","304.15"
"455","140","609","9","135.64"
"18","1375","1","6","22.16"
"884","135","706","7","157.19"
"1305","1011","465","3","385.13"
"25","59","648","1","638.21"
"82","604","941","2","570.85"
"419","368","167","3","91.77"
"1155","1943","444","10","546.88"
"1819","477","328","5","334.62"
"1806","41","478","8","28.7"
"244","1746","649","6","366.88"
"1104","841","934","8","474.59"
"469","89","966","6","100.12"
"1810","1234","355","4","66.08"
"1141","370","443","10","633.61"
"1688","704","826","1","365.13"
"709","1445","156","3","301.22"
"1747","1091","808","2","71.2"
"1926","1336","396","4","32.88"
"614","890","245","10","376.64"
