"539","429","434.32","795"
"1323","598","357.12","191"
"541","527","84.54","277"
"419","601","106.75","278"
"22","101","105.54","0"
"467","751","200.34","899"
"1238","7","560.12","203"
"974","925","561.04","401"
"1899","527","179.18","579"
"1115","818","45.67","808"
"484","85","318.96","473"
"883","952","146.49","624"
"524","653","34.08","98"
"1972","735","472.03","108"
"1519","586","355.91","701"
"1777","466","26.69","326"
"143","371","161.88","29"
"1506","336","348.5","829"
"1416","135","497.71","821"
"412","772","247.21","386"
"363","565","28.91","947"
"1723","157","317.34","718"
"357","125","299.75","88"
"231","616","79.3","993"
"1775","885","69.71","448"
"106","403","157.46","512"
"945","731","65.32","915"
"119","302","201.46","905"
"532","326","186.37","803"
"47","92","252.16","12"
"87","80","337.4","86"
"1984","303","112.23","673"
"766","80","547.23","429"
"338","12","19.38","465"
"1477","422","31.29","386"
"725","424","315.29","983"
"1447","925","745.35","677"
"944","676","377.61","723"
"924","250","151.76","364"
"798","307","336.75","447"
"556","988","292.07","368"
"960","639","264.04","480"
"1305","255","6.42","214"
"1192","320","577.11","867"
"962","713","245.65","202"
"329","327","355.87","341"
"16","23","159.95","265"
"1992","545","365.0","896"
"1623","254","227.41","628"
"152","324","94.14","761"
"1033","614","560.21","380"
"433","176","91.1","937"
"1","547","200.39","519"
"1441","360","318.08","408"
"836","91","311.19","397"
"896","336","365.49","242"
"1146","482","198.5","399"
"971","127","251.62","411"
"324","38","594.02","578"
"249","3","442.77","635"
"163","400","130.6","380"
"26","534","557.73","521"
"1927","301","11.59","264"
"805","336","301.68","410"
"51","592","193.55","669"
"349","154","277.41","420"
"1800","226","386.8","510"
"1682","71","44.58","574"
"1140","590","364.24","530"
"621","720","183.13","507"
"244","713","139.32","406"
"1017","840","4.76","268"
"994","61","121.06","457"
"1992","804","191.86","250"
"829","210","41.49","338"
"160","611","159.52","967"
"531","567","254.52","69"
"1640","720","179.55","247"
"1767","231","216.21","931"
"741","252","237.57","581"
"752","677","316.16","95"
"683","281","50.8","211"
"1975","488","323.2","507"
"1886","66","163.48","519"
"1151","967","323.58","558"
"548","506","114.27","112"
"350","822","106.51","594"
"1214","492","365.72","362"
"1129","397","728.97","916"
"962","921","281.21","572"
"967","157","303.91","897"
"1265","242","210.16","340"
"1744","249","496.14","811"
"439","543","168.99","712"
"14","66","125.72","17"
"274","902","64.22","826"
"577","191","256.59","980"
"849","342","205.39","879"
"540","443","239.21","139"
"495","189","554.11","451"
"1934","709","396.5","766"
"565","603","80.51","639"
"219","69","33.71","704"
"582","911","535.2","214"
"1573","587","299.01","210"
"1009","990","341.99","15"
"33","466","31.36","732"
"1179","569","123.55","596"
"220","511","443.19","954"
"1199","126","3.63","72"
"503","866","495.22","967"
"428","748","125.57","266"
"562","154","284.35","149"
"496","680","279.02","175"
"905","463","469.89","757"
"1566","989","378.58","711"
"1711","266","355.37","949"
"532","53","149.3","740"
"604","941","570.85","918"
"1618","299","441.4","73"
"292","187","358.3","315"
"967","407","249.73","754"
"807","38","465.79","905"
"280","377","71.31","176"
"1217","350","135.29","841"
"467","763","23.42","811"
"1243","711","3.27","490"
"793","256","233.87","265"
"246","298","449.49","323"
"1521","259","294.36","662"
"675","994","70.99","127"
"1205","841","172.5","217"
"642","880","365.38","351"
"1310","862","670.23","26"
"565","749","45.18","240"
"1905","780","12.03","16"
"1023","731","84.72","692"
"1834","628","92.19","66"
"570","869","130.16","889"
"511","710","2.41","524"
"847","566","294.39","461"
"1041","315","229.54","401"
"860","434","170.18","30"
"536","254","288.33","440"
"91","280","277.58","380"
"10","353","442.52","724"
"477","45","298.91","895"
"1751","783","501.95","294"
"718","47","451.04","397"
"1775","275","143.73","833"
"884","273","278.88","459"
"1119","549","449.03","848"
"1322","252","261.2","744"
"1714","389","437.39","917"
"867","830","48.31","215"
"1630","800","392.46","787"
"1753","366","231.91","99"
"1098","209","226.38","91"
"681","231","161.98","94"
"667","836","77.33","730"
"601","852","392.88","644"
"220","517","206.88","375"
"1681","684","449.77","407"
"1439","40","347.08","903"
"1731","694","526.56","585"
"1159","283","74.56","270"
"1084","326","211.5","339"
"765","716","150.95","427"
"1648","618","95.24","295"
"1392","19","60.88","996"
"1310","497","403.62","11"
"1375","1","22.16","177"
"570","824","98.93","326"
"230","656","50.51","766"
"1589","901","655.11","281"
"15","213","92.12","949"
"1187","922","203.5","128"
"1443","463","248.15","225"
"1589","961","331.99","958"
"247","411","144.68","818"
"340","230","79.51","41"
"529","267","243.52","82"
"1568","745","602.95","216"
"1676","65","190.57","678"
"911","286","307.49","967"
"1675","72","174.22","854"
"1328","467","251.75","63"
"831","118","40.73","797"
"1064","125","220.92","243"
"330","55","337.0","618"
"385","735","518.18","746"
"1146","276","450.62","750"
"1596","394","79.29","785"
"1949","792","448.58","718"
"1426","982","113.09","559"
"1441","321","5.53","270"
"538","743","121.1","385"
"1981","159","129.65","186"
"1806","752","413.13","330"
"1835","794","87.48","108"
"89","471","316.59","670"
"164","179","84.4","493"
"1995","326","155.72","152"
"88","846","141.62","760"
"1936","62","481.31","633"
"1467","296","648.57","739"
"1786","916","64.65","10"
"722","997","109.87","920"
"965","179","103.65","904"
"1749","284","162.91","65"
"53","470","18.45","755"
"1341","598","222.49","161"
"35","916","42.08","979"
"394","189","564.78","556"
"759","997","154.85","172"
"1232","425","536.88","705"
"533","342","403.01","697"
"1856","628","93.52","442"
"194","972","82.34","50"
"1943","905","393.23","263"
"1037","25","114.84","948"
"881","619","224.31","266"
"841","351","387.18","77"
"960","925","327.26","782"
"75","510","201.86","201"
"1713","68","340.54","215"
"766","201","693.53","677"
"1737","612","300.5","747"
"779","735","339.35","366"
"1121","968","172.69","641"
"357","567","313.43","64"
"1408","373","120.41","94"
"1808","472","330.74","705"
"1902","805","338.85","477"
"1115","638","45.83","964"
"1032","427","229.16","141"
"303","869","174.21","811"
"1809","726","254.93","829"
"1384","400","78.96","258"
"593","377","108.83","678"
"294","915","517.7","324"
"1663","925","600.36","390"
"636","735","295.49","623"
"1658","925","711.73","735"
"1124","693","119.27","642"
"843","660","72.15","510"
"1895","498","654.5","548"
