"0","703","246","52","531.5999999999999","15","1977-09-04 01:29:53","1977-09-18 01:29:53","Complete"
"1","885","776","1775","1115.36","16","1971-03-27 08:28:41","1971-04-10 08:28:41","Complete"
"2","257","476","1060","496.4","5","2003-12-04 20:31:38","2003-12-18 20:31:38","Complete"
"3","431","460","1192","251.34","1","1971-11-16 11:35:35","1971-11-30 11:35:35","Complete"
"4","374","1630","821","798.72","24","2013-08-30 14:48:35","2013-09-13 14:48:35","Complete"
"5","845","1520","1255","2418.2999999999997","9","1972-01-24 10:35:55","1972-02-07 10:35:55","Complete"
"6","395","1547","1602","53.49","1","2015-10-22 09:13:43","2015-11-05 09:13:43","Complete"
"7","954","743","805","4361.76","24","2006-11-18 22:40:00","2006-12-02 22:40:00","Complete"
"8","525","1337","138","1007.4","20","1988-03-10 01:52:04","1988-03-24 01:52:04","Complete"
"9","27","627","1810","10074.94","19","1995-03-10 13:29:08","1995-03-24 13:29:08","Complete"
"10","489","1204","162","5004.57","23","1986-11-19 16:50:39","1986-12-03 16:50:39","Complete"
"11","123","231","707","4405.18","13","1978-07-01 09:14:13","1978-07-15 09:14:13","Complete"
"12","655","1160","958","5492.4","24","2014-01-03 17:19:52","2014-01-17 17:19:52","Complete"
"13","717","946","1305","496.34","2","2004-06-09 00:31:52","2004-06-23 00:31:52","Complete"
"14","986","1826","1286","3617.25","5","1975-03-09 19:10:58","1975-03-23 19:10:58","Complete"
"15","148","842","648","14086.5","30","2012-06-19 15:49:16","2012-07-03 15:49:16","Complete"
"16","889","1746","204","4527.900000000001","15","1971-02-27 23:09:08","1971-03-13 23:09:08","Complete"
"17","886","404","754","374.52","4","1979-09-08 13:22:13","1979-09-22 13:22:13","Complete"
"18","291","1170","396","783.77","13","2009-07-18 11:40:27","2009-08-01 11:40:27","Complete"
"19","605","1148","283","5988.84","22","2017-05-20 21:27:29","2017-06-03 21:27:29","Complete"
"20","721","1268","255","1082.43","27","1982-09-28 13:44:42","1982-10-12 13:44:42","Complete"
"21","30","566","977","6011.64","12","1998-12-18 05:19:26","1999-01-01 05:19:26","Complete"
"22","699","1706","1787","7456.59","27","1979-08-02 17:02:15","1979-08-16 17:02:15","Complete"
"23","274","1869","467","7151.790000000001","19","1995-12-07 19:04:18","1995-12-21 19:04:18","Complete"
"24","78","1065","62","2163.52","16","1992-07-09 15:06:21","1992-07-23 15:06:21","Complete"
"25","386","650","408","4982.400000000001","18","1978-03-24 20:57:59","1978-04-07 20:57:59","Complete"
"26","450","824","1647","3205.2599999999998","9","1978-09-18 10:53:33","1978-10-02 10:53:33","Complete"
"27","294","1021","1472","154.87","1","1977-03-20 21:14:57","1977-04-03 21:14:57","Complete"
